Region,Category,Recommended_selling_price,Brand_Strength_Score,Target_margin,Base_Cost,Actual_Is_Premium,Premium_Probability,Premium_Segment
Spain,Food & Refreshment,11.7712,3,0.3,10.51,0,7.929203776234005e-16,Standard / Value
UK,Personal Care,7.072,10,0.32,4.42,1,0.9999999961171744,Strong Premium
Germany,Food & Refreshment,12.0448,7,0.31,9.41,0,0.02088655694159564,Standard / Value
Germany,Personal Care,13.7195,1,0.31,11.93,0,1.521922913143166e-22,Standard / Value
UK,Personal Care,14.3635,2,0.32,12.49,0,3.451182829344433e-19,Standard / Value
France,Home Care,14.1875,4,0.29,11.35,0,1.795206973518406e-12,Standard / Value
Germany,Food & Refreshment,20.181,8,0.31,13.02,1,0.979426128769499,Strong Premium
France,Home Care,0.8500000000000001,6,0.29,0.68,0,9.817032170183504e-06,Standard / Value
UK,Personal Care,12.792,4,0.32,9.84,0,1.809778177664934e-12,Standard / Value
Spain,Food & Refreshment,7.812,9,0.3,5.04,1,0.9999911401524312,Strong Premium
France,Home Care,13.189,2,0.29,11.99,0,3.459566186058416e-19,Standard / Value
UK,Home Care,3.63,3,0.32,3.3,0,8.234879326407473e-16,Standard / Value
Germany,Personal Care,18.694,4,0.31,14.38,0,1.767210287437121e-12,Standard / Value
Spain,Food & Refreshment,5.0064,3,0.3,4.47,0,8.183626116867959e-16,Standard / Value
France,Personal Care,4.208,9,0.29,2.63,1,0.9999912505510821,Strong Premium
Germany,Home Care,8.985,9,0.31,5.99,1,0.9999910965910103,Strong Premium
France,Personal Care,13.0755,3,0.29,11.37,0,7.893131774952582e-16,Standard / Value
Spain,Food & Refreshment,13.0144,1,0.3,11.62,0,1.524296231484324e-22,Standard / Value
France,Food & Refreshment,7.7616,2,0.29,6.93,0,3.552322347196431e-19,Standard / Value
UK,Home Care,18.66,10,0.32,12.44,1,0.9999999959508818,Strong Premium
Spain,Home Care,4.485,10,0.3,2.99,1,0.9999999961456156,Strong Premium
Spain,Personal Care,1.391,7,0.3,1.07,0,0.02179592519565981,Standard / Value
France,Food & Refreshment,15.8875,8,0.29,10.25,1,0.9797134800664893,Strong Premium
Germany,Personal Care,2.132,7,0.31,1.64,0,0.02173380345399611,Standard / Value
France,Personal Care,6.370000000000001,4,0.29,4.9,0,1.856785746953567e-12,Standard / Value
Germany,Food & Refreshment,16.9725,9,0.31,10.95,1,0.9999908626584911,Strong Premium
UK,Food & Refreshment,3.6624,1,0.32,3.27,0,1.59252352134738e-22,Standard / Value
Germany,Personal Care,5.048499999999999,3,0.31,4.39,0,8.18756400430458e-16,Standard / Value
UK,Personal Care,4.082000000000001,7,0.32,3.14,0,0.02156899016642278,Standard / Value
France,Personal Care,17.953,4,0.29,13.81,0,1.772262821887919e-12,Standard / Value
France,Home Care,2.585,1,0.29,2.35,0,1.599901728778444e-22,Standard / Value
France,Food & Refreshment,15.3915,10,0.29,9.93,1,0.9999999960029253,Strong Premium
France,Home Care,1.5125,6,0.29,1.21,0,9.789863851667945e-06,Standard / Value
France,Personal Care,6.768000000000001,10,0.29,4.23,1,0.9999999961202997,Strong Premium
UK,Food & Refreshment,4.043200000000001,1,0.32,3.61,0,1.589694792275868e-22,Standard / Value
Spain,Food & Refreshment,5.6224,2,0.3,5.02,0,3.588203227762584e-19,Standard / Value
Germany,Home Care,11.539,1,0.31,10.49,0,1.533425719094334e-22,Standard / Value
UK,Food & Refreshment,18.7648,5,0.32,14.66,0,4.013279355812206e-09,Standard / Value
Spain,Food & Refreshment,19.8245,10,0.3,12.79,1,0.9999999959429555,Strong Premium
Spain,Food & Refreshment,3.776,7,0.3,2.95,0,0.02158731529475597,Standard / Value
France,Food & Refreshment,9.2544,4,0.29,7.23,0,1.834301032054394e-12,Standard / Value
Spain,Food & Refreshment,1.4224,3,0.3,1.27,0,8.321711220759323e-16,Standard / Value
UK,Home Care,0.75,10,0.32,0.5,1,0.9999999961959523,Strong Premium
UK,Personal Care,1.52,8,0.32,0.95,1,0.980661337409686,Strong Premium
France,Personal Care,9.6485,1,0.29,8.39,0,1.550162073421874e-22,Standard / Value
Spain,Home Care,7.9875,4,0.3,6.39,0,1.842491183075213e-12,Standard / Value
UK,Personal Care,16.491,1,0.32,14.34,0,1.502958737402371e-22,Standard / Value
Germany,Personal Care,6.994,7,0.31,5.38,0,0.02132187656435347,Standard / Value
UK,Personal Care,10.6375,1,0.32,9.25,0,1.543497422676145e-22,Standard / Value
Germany,Food & Refreshment,12.1365,10,0.31,7.83,1,0.9999999960470722,Strong Premium
France,Home Care,4.462499999999999,4,0.29,3.57,0,1.869743718755967e-12,Standard / Value
Spain,Food & Refreshment,2.24,6,0.3,1.75,0,9.762872953787741e-06,Standard / Value
Spain,Personal Care,0.736,3,0.3,0.64,0,8.349170004356395e-16,Standard / Value
Germany,Personal Care,14.398,1,0.31,12.52,0,1.517234914236437e-22,Standard / Value
France,Home Care,3.971,1,0.29,3.61,0,1.589395507317888e-22,Standard / Value
Spain,Home Care,14.4375,5,0.3,11.55,0,4.078564719597705e-09,Standard / Value
Germany,Home Care,10.62,8,0.31,7.08,1,0.9800427705814351,Strong Premium
UK,Food & Refreshment,16.461,10,0.32,10.62,1,0.9999999959892332,Strong Premium
France,Home Care,15.862,2,0.29,14.42,0,3.415886020229106e-19,Standard / Value
Spain,Home Care,21.165,9,0.3,14.11,1,0.9999907098425844,Strong Premium
France,Home Care,15.708,2,0.29,14.28,0,3.41838753432786e-19,Standard / Value
UK,Food & Refreshment,6.336,4,0.32,4.95,0,1.856649903995755e-12,Standard / Value
UK,Food & Refreshment,2.387,9,0.32,1.54,1,0.9999913019144028,Strong Premium
France,Home Care,3.33,8,0.29,2.22,1,0.9805314012236221,Strong Premium
Spain,Home Care,10.365,8,0.3,6.91,1,0.9800589229178273,Strong Premium
UK,Food & Refreshment,23.1105,9,0.32,14.91,1,0.9999906720704332,Strong Premium
Spain,Personal Care,11.584,9,0.3,7.24,1,0.9999910376443762,Strong Premium
Germany,Personal Care,23.392,10,0.31,14.62,1,0.9999999959042045,Strong Premium
France,Home Care,4.774,1,0.29,4.34,0,1.583340163535183e-22,Standard / Value
UK,Home Care,11.308,3,0.32,10.28,0,7.939742147012034e-16,Standard / Value
UK,Home Care,6.303000000000001,1,0.32,5.73,0,1.572169823034052e-22,Standard / Value
Spain,Food & Refreshment,2.2176,1,0.3,1.98,0,1.603100668881523e-22,Standard / Value
Germany,Food & Refreshment,13.2096,4,0.31,10.32,0,1.805128242820051e-12,Standard / Value
Germany,Home Care,8.205,8,0.31,5.47,1,0.9802067652049711,Strong Premium
France,Personal Care,13.585,6,0.29,10.45,0,9.328112837173618e-06,Standard / Value
Spain,Food & Refreshment,13.9264,5,0.3,10.88,0,4.092878544714894e-09,Standard / Value
UK,Home Care,2.225,6,0.32,1.78,0,9.762566938997544e-06,Standard / Value
France,Home Care,8.8,7,0.29,7.04,0,0.02113890152750432,Standard / Value
Germany,Food & Refreshment,10.432,7,0.31,8.15,0,0.02102171890170558,Standard / Value
France,Food & Refreshment,5.619199999999999,7,0.29,4.39,0,0.02142753471563127,Standard / Value
Spain,Personal Care,5.694,5,0.3,4.38,0,4.234378433205938e-09,Standard / Value
Germany,Home Care,18.54,10,0.31,12.36,1,0.9999999959523214,Strong Premium
Spain,Food & Refreshment,10.0736,7,0.3,7.87,0,0.02105057754034116,Standard / Value
France,Food & Refreshment,11.6608,5,0.29,9.11,0,4.130675540517379e-09,Standard / Value
UK,Food & Refreshment,9.7664,6,0.32,7.63,0,9.46846159127536e-06,Standard / Value
Germany,Personal Care,18.224,9,0.31,11.39,1,0.9999908416119455,Strong Premium
Spain,Home Care,10.35,5,0.3,8.28,0,4.148902051047678e-09,Standard / Value
Germany,Food & Refreshment,7.719000000000001,8,0.31,4.98,1,0.980256414018551,Strong Premium
Spain,Personal Care,9.1,5,0.3,7.0,0,4.176763898413243e-09,Standard / Value
Spain,Food & Refreshment,15.1745,8,0.3,9.79,1,0.9797624748191708,Strong Premium
France,Home Care,15.477,2,0.29,14.07,0,3.422143240713785e-19,Standard / Value
Germany,Home Care,3.765,8,0.31,2.51,1,0.9805048324226294,Strong Premium
Germany,Personal Care,7.007,6,0.31,5.39,0,9.57941348799043e-06,Standard / Value
UK,Home Care,5.698,3,0.32,5.18,0,8.154323905174987e-16,Standard / Value
Germany,Home Care,11.1375,4,0.31,8.91,0,1.818486251271673e-12,Standard / Value
UK,Home Care,13.519,3,0.32,12.29,0,7.856731312056218e-16,Standard / Value
Spain,Food & Refreshment,7.324800000000001,2,0.3,6.54,0,3.559797333892257e-19,Standard / Value
Spain,Personal Care,15.364,3,0.3,13.36,0,7.811915390297212e-16,Standard / Value
Germany,Personal Care,14.224,9,0.31,8.89,1,0.9999909605531069,Strong Premium
Germany,Home Care,14.553,2,0.31,13.23,0,3.437638847859061e-19,Standard / Value
Germany,Food & Refreshment,20.832,10,0.31,13.44,1,0.9999999959293984,Strong Premium
UK,Food & Refreshment,11.3536,6,0.32,8.87,0,9.407268498451921e-06,Standard / Value
France,Food & Refreshment,6.3488,5,0.29,4.96,0,4.221291017393557e-09,Standard / Value
Spain,Home Care,15.69,8,0.3,10.46,1,0.9796928930110239,Strong Premium
UK,Food & Refreshment,3.782,9,0.32,2.44,1,0.999991260884804,Strong Premium
France,Personal Care,9.533499999999998,2,0.29,8.29,0,3.527150182795968e-19,Standard / Value
Spain,Home Care,5.896000000000001,3,0.3,5.36,0,8.145630088224979e-16,Standard / Value
Spain,Food & Refreshment,2.8672,7,0.3,2.24,0,0.02166586836815508,Standard / Value
UK,Food & Refreshment,5.7472,5,0.32,4.49,0,4.23247483188618e-09,Standard / Value
France,Personal Care,7.072000000000001,7,0.29,5.44,0,0.02131271238553087,Standard / Value
France,Personal Care,8.993,1,0.29,7.82,0,1.554789205586999e-22,Standard / Value
Spain,Personal Care,8.24,9,0.3,5.15,1,0.999991135054986,Strong Premium
France,Food & Refreshment,20.77,8,0.29,13.4,1,0.9793835172210306,Strong Premium
UK,Personal Care,22.72,9,0.32,14.2,1,0.9999907066362027,Strong Premium
Germany,Personal Care,15.821,5,0.31,12.17,0,4.065618843914513e-09,Standard / Value
France,Home Care,9.9125,4,0.29,7.93,0,1.827599306235743e-12,Standard / Value
Germany,Home Care,6.33,8,0.31,4.22,1,0.9803331790180059,Strong Premium
Spain,Personal Care,13.76,10,0.3,8.6,1,0.9999999960308754,Strong Premium
Spain,Food & Refreshment,17.2032,4,0.3,13.44,0,1.775806391166047e-12,Standard / Value
UK,Personal Care,4.693,4,0.32,3.61,0,1.869704690726148e-12,Standard / Value
Spain,Home Care,13.838,1,0.3,12.58,0,1.516663787742567e-22,Standard / Value
UK,Home Care,10.965,9,0.32,7.31,1,0.9999910354886664,Strong Premium
Germany,Food & Refreshment,12.9808,2,0.31,11.59,0,3.467244875247671e-19,Standard / Value
France,Food & Refreshment,13.6528,1,0.29,12.19,0,1.519664469113765e-22,Standard / Value
France,Personal Care,4.03,7,0.29,3.1,0,0.02156943068419683,Standard / Value
Germany,Personal Care,11.109,2,0.31,9.66,0,3.502412874035803e-19,Standard / Value
Spain,Home Care,3.7125,4,0.3,2.97,0,1.87573670201053e-12,Standard / Value
France,Home Care,18.55,5,0.29,14.84,0,4.008748954930479e-09,Standard / Value
UK,Personal Care,6.08,8,0.32,3.8,1,0.980376683673186,Strong Premium
France,Food & Refreshment,8.025599999999999,5,0.29,6.27,0,4.192474428091824e-09,Standard / Value
Germany,Home Care,5.665000000000001,3,0.31,5.15,0,8.155091317609898e-16,Standard / Value
UK,Home Care,9.175,5,0.32,7.34,0,4.169868275983563e-09,Standard / Value
Germany,Personal Care,3.042,7,0.31,2.34,0,0.02165611735486802,Standard / Value
France,Home Care,9.855,10,0.29,6.57,1,0.9999999960725374,Strong Premium
Spain,Home Care,2.629,2,0.3,2.39,0,3.637889338744896e-19,Standard / Value
Germany,Personal Care,10.5685,1,0.31,9.19,0,1.543884849763656e-22,Standard / Value
UK,Home Care,9.812000000000001,3,0.32,8.92,0,7.996405596047039e-16,Standard / Value
Germany,Food & Refreshment,13.9008,6,0.31,10.86,0,9.309304716724062e-06,Standard / Value
Germany,Food & Refreshment,7.918400000000001,3,0.31,7.07,0,8.073627567460446e-16,Standard / Value
Spain,Food & Refreshment,7.1904,2,0.3,6.42,0,3.562031705254166e-19,Standard / Value
France,Personal Care,8.918000000000001,4,0.29,6.86,0,1.83785329490228e-12,Standard / Value
UK,Food & Refreshment,9.7664,5,0.32,7.63,0,4.16354992612127e-09,Standard / Value
Spain,Personal Care,2.2425,2,0.3,1.95,0,3.646268767815493e-19,Standard / Value
UK,Personal Care,11.6725,1,0.32,10.15,0,1.536250735860785e-22,Standard / Value
Spain,Food & Refreshment,13.2835,10,0.3,8.57,1,0.999999996031498,Strong Premium
UK,Personal Care,17.68,4,0.32,13.6,0,1.774544053377454e-12,Standard / Value
UK,Food & Refreshment,18.5344,6,0.32,14.48,0,9.135323721110874e-06,Standard / Value
Spain,Personal Care,16.128,10,0.3,10.08,1,0.9999999960000401,Strong Premium
France,Food & Refreshment,7.436800000000001,3,0.29,6.64,0,8.090785409169258e-16,Standard / Value
Germany,Home Care,8.97,10,0.31,5.98,1,0.9999999960851265,Strong Premium
UK,Food & Refreshment,10.323,9,0.32,6.66,1,0.9999910659052788,Strong Premium
Spain,Food & Refreshment,16.4736,4,0.3,12.87,0,1.781107056827055e-12,Standard / Value
Spain,Personal Care,18.032,8,0.3,11.27,1,0.9796084588455698,Strong Premium
Spain,Home Care,1.515,9,0.3,1.01,1,0.999991324897259,Strong Premium
France,Food & Refreshment,9.755200000000002,2,0.29,8.71,0,3.519412533924295e-19,Standard / Value
France,Food & Refreshment,11.315,8,0.29,7.3,1,0.9800178003114879,Strong Premium
Germany,Home Care,9.009,3,0.31,8.19,0,8.026483371813421e-16,Standard / Value
Germany,Personal Care,10.465,5,0.31,8.05,0,4.15415545431858e-09,Standard / Value
France,Home Care,7.850000000000001,6,0.29,6.28,0,9.533740575632245e-06,Standard / Value
Germany,Food & Refreshment,9.1264,5,0.31,7.13,0,4.174187632573205e-09,Standard / Value
France,Personal Care,8.8,10,0.29,5.5,1,0.9999999960944499,Strong Premium
UK,Food & Refreshment,13.826,9,0.32,8.92,1,0.9999909597024024,Strong Premium
UK,Personal Care,9.971,7,0.32,7.67,0,0.0210747287511755,Standard / Value
Germany,Home Care,19.605,9,0.31,13.07,1,0.9999907608055316,Strong Premium
Spain,Food & Refreshment,4.979200000000001,6,0.3,3.89,0,9.654237344739883e-06,Standard / Value
UK,Home Care,16.423,2,0.32,14.93,0,3.407430334307275e-19,Standard / Value
Germany,Food & Refreshment,4.7275,9,0.31,3.05,1,0.9999912324156257,Strong Premium
Germany,Food & Refreshment,3.36,2,0.31,3.0,0,3.626531845657876e-19,Standard / Value
Spain,Home Care,5.2125,7,0.3,4.17,0,0.02145298677528356,Standard / Value
Germany,Food & Refreshment,2.3715,8,0.31,1.53,1,0.9806025440794011,Strong Premium
Spain,Food & Refreshment,10.2765,9,0.3,6.63,1,0.9999910661853157,Strong Premium
France,Personal Care,17.135,1,0.29,14.9,0,1.498282083941924e-22,Standard / Value
Germany,Personal Care,15.264,9,0.31,9.54,1,0.9999909297778208,Strong Premium
Spain,Home Care,1.305,10,0.3,0.87,1,0.999999996188107,Strong Premium
Spain,Food & Refreshment,10.1376,6,0.3,7.92,0,9.452928121971307e-06,Standard / Value
Spain,Home Care,17.0125,5,0.3,13.61,0,4.034867859472548e-09,Standard / Value
UK,Food & Refreshment,8.153,10,0.32,5.26,1,0.9999999961000825,Strong Premium
Germany,Home Care,8.492,1,0.31,7.72,0,1.555797681088638e-22,Standard / Value
France,Food & Refreshment,5.913600000000001,2,0.29,5.28,0,3.583103417928334e-19,Standard / Value
UK,Home Care,1.53,8,0.32,1.02,1,0.980654394643896,Strong Premium
UK,Personal Care,8.165,3,0.32,7.1,0,8.072867820947646e-16,Standard / Value
France,Personal Care,5.531499999999999,3,0.29,4.81,0,8.168577218630878e-16,Standard / Value
Spain,Personal Care,4.29,6,0.3,3.3,0,9.684067014094939e-06,Standard / Value
UK,Personal Care,18.912,8,0.32,11.82,1,0.9795534453223935,Strong Premium
Spain,Home Care,12.125,4,0.3,9.7,0,1.810876190873264e-12,Standard / Value
Spain,Personal Care,7.222,1,0.3,6.28,0,1.567458136507459e-22,Standard / Value
UK,Home Care,10.483,2,0.32,9.53,0,3.505014457125462e-19,Standard / Value
UK,Food & Refreshment,17.5488,4,0.32,13.71,0,1.773523661123082e-12,Standard / Value
UK,Food & Refreshment,1.4592,4,0.32,1.14,0,1.894009382603325e-12,Standard / Value
Germany,Home Care,4.85,5,0.31,3.88,0,4.245730003903406e-09,Standard / Value
France,Personal Care,5.057,5,0.29,3.89,0,4.244975131257659e-09,Standard / Value
France,Home Care,17.295,9,0.29,11.53,1,0.9999908337546715,Strong Premium
Germany,Food & Refreshment,4.557,9,0.31,2.94,1,0.9999912374570881,Strong Premium
Spain,Home Care,7.755000000000001,1,0.3,7.05,0,1.561159808839004e-22,Standard / Value
France,Food & Refreshment,16.6016,7,0.29,12.97,0,0.02050672940736206,Standard / Value
UK,Food & Refreshment,15.2064,6,0.32,11.88,0,9.26036728726702e-06,Standard / Value
Germany,Home Care,8.4,6,0.31,6.72,0,9.513025464986933e-06,Standard / Value
UK,Personal Care,4.508,1,0.32,3.92,0,1.587120036266886e-22,Standard / Value
Germany,Personal Care,11.0285,2,0.31,9.59,0,3.503695078959907e-19,Standard / Value
France,Home Care,11.682,3,0.29,10.62,0,7.924147008545582e-16,Standard / Value
UK,Home Care,12.735,10,0.32,8.49,1,0.9999999960336556,Strong Premium
France,Home Care,1.892,3,0.29,1.72,0,8.30163207479254e-16,Standard / Value
UK,Personal Care,14.313,6,0.32,11.01,0,9.302589813497313e-06,Standard / Value
Germany,Food & Refreshment,14.144,7,0.31,11.05,0,0.02071190518789874,Standard / Value
France,Food & Refreshment,5.89,8,0.29,3.8,1,0.9803730611040509,Strong Premium
Spain,Home Care,2.057,1,0.3,1.87,0,1.604023008707806e-22,Standard / Value
France,Home Care,1.32,2,0.29,1.2,0,3.660366662606624e-19,Standard / Value
UK,Home Care,15.213,3,0.32,13.83,0,7.79371865643537e-16,Standard / Value
Germany,Food & Refreshment,12.7872,7,0.31,9.99,0,0.0208246257389396,Standard / Value
Spain,Personal Care,2.691,4,0.3,2.07,0,1.884584786577867e-12,Standard / Value
Spain,Food & Refreshment,16.52,3,0.3,14.75,0,7.755342601035564e-16,Standard / Value
Germany,Food & Refreshment,8.9984,4,0.31,7.03,0,1.836450821686088e-12,Standard / Value
UK,Home Care,3.575,4,0.32,2.86,0,1.877051499240945e-12,Standard / Value
France,Food & Refreshment,13.795,9,0.29,8.9,1,0.9999909589456607,Strong Premium
France,Personal Care,9.1885,3,0.29,7.99,0,8.033873248313906e-16,Standard / Value
UK,Food & Refreshment,8.2096,1,0.32,7.33,0,1.559071473788434e-22,Standard / Value
France,Home Care,5.745,10,0.29,3.83,1,0.9999999961284058,Strong Premium
Germany,Personal Care,6.853999999999999,2,0.31,5.96,0,3.570833897806441e-19,Standard / Value
France,Home Care,13.706,3,0.29,12.46,0,7.8482725900735e-16,Standard / Value
UK,Food & Refreshment,5.9985,10,0.32,3.87,1,0.999999996128325,Strong Premium
UK,Home Care,10.9375,7,0.32,8.75,0,0.02095853742622578,Standard / Value
Spain,Home Care,19.11,10,0.3,12.74,1,0.999999995944016,Strong Premium
Germany,Personal Care,7.648000000000001,10,0.31,4.78,1,0.9999999961096144,Strong Premium
UK,Food & Refreshment,10.944,4,0.32,8.55,0,1.822026967514667e-12,Standard / Value
Germany,Home Care,5.577000000000001,1,0.31,5.07,0,1.577505889331754e-22,Standard / Value
UK,Home Care,6.225000000000001,10,0.32,4.15,1,0.9999999961226524,Strong Premium
UK,Food & Refreshment,16.5536,3,0.32,14.78,0,7.755099509404759e-16,Standard / Value
UK,Personal Care,10.896,10,0.32,6.81,1,0.9999999960683459,Strong Premium
France,Personal Care,9.529,4,0.29,7.33,0,1.833342140161744e-12,Standard / Value
France,Food & Refreshment,8.614400000000002,6,0.29,6.73,0,9.511334105804025e-06,Standard / Value
Spain,Personal Care,12.402,6,0.3,9.54,0,9.373192616869454e-06,Standard / Value
France,Personal Care,19.168,10,0.29,11.98,1,0.9999999959598489,Strong Premium
France,Personal Care,16.7555,2,0.29,14.57,0,3.413207857880737e-19,Standard / Value
France,Personal Care,8.432,9,0.29,5.27,1,0.9999911289340561,Strong Premium
France,Home Care,17.805,10,0.29,11.87,1,0.9999999959621722,Strong Premium
Germany,Food & Refreshment,4.6345,8,0.31,2.99,1,0.980456797800717,Strong Premium
Germany,Food & Refreshment,22.94,9,0.31,14.8,1,0.9999906768489896,Strong Premium
France,Food & Refreshment,1.5344,1,0.29,1.37,0,1.608121224481071e-22,Standard / Value
UK,Home Care,8.0875,7,0.32,6.47,0,0.02120456949591533,Standard / Value
France,Food & Refreshment,3.8144,4,0.29,2.98,0,1.875520910163255e-12,Standard / Value
Spain,Food & Refreshment,8.704,7,0.3,6.8,0,0.02116618472588726,Standard / Value
UK,Personal Care,3.77,7,0.32,2.9,0,0.021595490089416,Standard / Value
Germany,Home Care,7.112500000000001,5,0.31,5.69,0,4.205736451323923e-09,Standard / Value
France,Food & Refreshment,15.5456,2,0.29,13.88,0,3.425544816204805e-19,Standard / Value
France,Food & Refreshment,12.096,7,0.29,9.45,0,0.02087971374309526,Standard / Value
France,Personal Care,16.096,8,0.29,10.06,1,0.9797332163713243,Strong Premium
France,Home Care,3.2625,6,0.29,2.61,0,9.718459548214812e-06,Standard / Value
UK,Food & Refreshment,18.0575,10,0.32,11.65,1,0.9999999959675736,Strong Premium
UK,Personal Care,22.336,9,0.32,13.96,1,0.9999907182914165,Strong Premium
Spain,Home Care,6.135,8,0.3,4.09,1,0.9803450712640184,Strong Premium
UK,Home Care,15.87,9,0.32,10.58,1,0.9999908808916204,Strong Premium
UK,Home Care,5.522,2,0.32,5.02,0,3.588653655424131e-19,Standard / Value
France,Home Care,15.884,2,0.29,14.44,0,3.415528810537084e-19,Standard / Value
France,Home Care,6.959999999999999,8,0.29,4.64,1,0.980288367150545,Strong Premium
UK,Food & Refreshment,14.012,10,0.32,9.04,1,0.9999999960222323,Strong Premium
UK,Home Care,5.012499999999999,4,0.32,4.01,0,1.865798157833952e-12,Standard / Value
Spain,Home Care,1.785,10,0.3,1.19,1,0.9999999961817232,Strong Premium
France,Home Care,11.759,3,0.29,10.69,0,7.921247104277459e-16,Standard / Value
France,Home Care,12.012,2,0.29,10.92,0,3.478976541677398e-19,Standard / Value
UK,Home Care,3.487,1,0.32,3.17,0,1.593356458015357e-22,Standard / Value
Spain,Food & Refreshment,2.7776,2,0.3,2.48,0,3.636177738328913e-19,Standard / Value
France,Home Care,2.7125,7,0.29,2.17,0,0.0216722974183305,Standard / Value
Germany,Personal Care,17.368,7,0.31,13.36,0,0.02046832450302701,Standard / Value
Germany,Home Care,10.8,9,0.31,7.2,1,0.999991040081051,Strong Premium
France,Home Care,3.75,7,0.29,3.0,0,0.02158046867229673,Standard / Value
Germany,Home Care,9.015,8,0.31,6.01,1,0.9801519084911263,Strong Premium
France,Home Care,9.889000000000001,3,0.29,8.99,0,7.991974350436888e-16,Standard / Value
Germany,Home Care,1.078,2,0.31,0.98,0,3.665039854503319e-19,Standard / Value
France,Food & Refreshment,1.5104,4,0.29,1.18,0,1.893256776183299e-12,Standard / Value
UK,Food & Refreshment,14.0928,6,0.32,11.01,0,9.302589813497313e-06,Standard / Value
France,Personal Care,14.8925,2,0.29,12.95,0,3.442243474277976e-19,Standard / Value
Germany,Home Care,12.3625,7,0.31,9.89,0,0.02083529069530985,Standard / Value
UK,Home Care,11.605,3,0.32,10.55,0,7.928540646476099e-16,Standard / Value
UK,Home Care,5.775,10,0.32,3.85,1,0.99999999612873,Strong Premium
Germany,Home Care,7.9125,5,0.31,6.33,0,4.191685422674198e-09,Standard / Value
UK,Food & Refreshment,13.2272,2,0.32,11.81,0,3.463475939933958e-19,Standard / Value
UK,Food & Refreshment,22.444,8,0.32,14.48,1,0.9792730040536723,Strong Premium
Spain,Food & Refreshment,5.8112,6,0.3,4.54,0,9.621480512682171e-06,Standard / Value
France,Home Care,17.9875,4,0.29,14.39,0,1.766896085000848e-12,Standard / Value
France,Food & Refreshment,4.236800000000001,7,0.29,3.31,0,0.02154626887793319,Standard / Value
France,Food & Refreshment,18.8288,4,0.29,14.71,0,1.763942086500854e-12,Standard / Value
Spain,Home Care,13.662,3,0.3,12.42,0,7.850406968488252e-16,Standard / Value
France,Food & Refreshment,21.204,9,0.29,13.68,1,0.9999907301255099,Strong Premium
UK,Food & Refreshment,10.0905,9,0.32,6.51,1,0.9999910729098281,Strong Premium
France,Personal Care,18.096,8,0.29,11.31,1,0.979603026373405,Strong Premium
Spain,Food & Refreshment,17.732,9,0.3,11.44,1,0.9999908386422734,Strong Premium
UK,Personal Care,5.928,5,0.32,4.56,0,4.230925924254287e-09,Standard / Value
UK,Home Care,11.325,5,0.32,9.06,0,4.132533645955841e-09,Standard / Value
UK,Home Care,13.525,7,0.32,10.82,0,0.02073758706093823,Standard / Value
Spain,Food & Refreshment,9.945599999999999,7,0.3,7.77,0,0.0210613557248579,Standard / Value
UK,Home Care,10.043,3,0.32,9.13,0,7.987629764806424e-16,Standard / Value
Germany,Food & Refreshment,16.128,1,0.31,14.4,0,1.502392984830986e-22,Standard / Value
Spain,Food & Refreshment,1.3056,6,0.3,1.02,0,9.80020982809885e-06,Standard / Value
Germany,Food & Refreshment,13.9264,6,0.31,10.88,0,9.308331223200734e-06,Standard / Value
Spain,Personal Care,9.952,10,0.3,6.22,1,0.9999999960799646,Strong Premium
France,Food & Refreshment,3.7045,8,0.29,2.39,1,0.9805144249166428,Strong Premium
Spain,Home Care,10.305,8,0.3,6.87,1,0.9800630101542591,Strong Premium
UK,Home Care,15.9125,5,0.32,12.73,0,4.053985740283907e-09,Standard / Value
Germany,Food & Refreshment,13.2864,4,0.31,10.38,0,1.804561998625268e-12,Standard / Value
France,Personal Care,6.591,6,0.29,5.07,0,9.594251212666251e-06,Standard / Value
France,Home Care,6.0875,7,0.29,4.87,0,0.02137496962230765,Standard / Value
Germany,Personal Care,12.2015,1,0.31,10.61,0,1.532463840370092e-22,Standard / Value
Spain,Food & Refreshment,8.2688,5,0.3,6.46,0,4.18857416079482e-09,Standard / Value
UK,Personal Care,11.037,4,0.32,8.49,0,1.822598691951888e-12,Standard / Value
Spain,Personal Care,2.112,10,0.3,1.32,1,0.9999999961791268,Strong Premium
Germany,Food & Refreshment,8.96,1,0.31,8.0,0,1.553521505083239e-22,Standard / Value
UK,Home Care,7.6125,4,0.32,6.09,0,1.845615378049036e-12,Standard / Value
UK,Home Care,6.886,2,0.32,6.26,0,3.565460565396349e-19,Standard / Value
UK,Home Care,10.5125,4,0.32,8.41,0,1.823361270275511e-12,Standard / Value
France,Personal Care,9.685,6,0.29,7.45,0,9.47559323502244e-06,Standard / Value
Germany,Food & Refreshment,3.7072,2,0.31,3.31,0,3.620658117753161e-19,Standard / Value
UK,Home Care,1.287,1,0.32,1.17,0,1.610106981722373e-22,Standard / Value
UK,Home Care,9.4875,5,0.32,7.59,0,4.164420853134312e-09,Standard / Value
Spain,Food & Refreshment,15.221,9,0.3,9.82,1,0.9999909159184031,Strong Premium
Germany,Personal Care,14.404,4,0.31,11.08,0,1.797968926099975e-12,Standard / Value
Spain,Personal Care,18.48,10,0.3,11.55,1,0.9999999959691757,Strong Premium
Germany,Home Care,19.17,9,0.31,12.78,1,0.9999907748049965,Strong Premium
Spain,Personal Care,2.1275,2,0.3,1.85,0,3.64817587368696e-19,Standard / Value
